,name,title,latitude,longtitude,address1,address2,address3,city,zip_code,country,state,display_address
15035,Italian Kitchen,"['Pizza', 'Italian']",39.9864213427882,-75.2479510009289,2035 N 63rd St,,,Philadelphia,19151,US,PA,"2035 N 63rd St Philadelphia, PA 19151 "
15036,Shee Yuan Chinese,['Chinese'],39.98904,-75.24983,2125 N 63rd St,,,Philadelphia,19151,US,PA,"2125 N 63rd St Philadelphia, PA 19151 "
15043,Hess,['Sandwiches'],39.9979299,-75.23237,5110 City Ave,,,Philadelphia,19131,US,PA,"5110 City Ave Philadelphia, PA 19131 "
15045,Popeyes Louisiana Kitchen,['Chicken Shop'],39.989199,-75.251041,6300 City Line Ave,,,Philadelphia,19151,US,PA,"6300 City Line Ave Philadelphia, PA 19151 "
15062,Mong Shil Tong Tong,"['Asian Fusion', 'Korean']",39.9613068,-75.2630991,7050 Terminal Square,,,Upper Darby,19082,US,PA,"7050 Terminal Square Upper Darby, PA 19082 "
15065,El Rinconcito,['Latin American'],39.9625266,-75.2622614,7001 West Chester Pike,,,Upper Darby,19082,US,PA,"7001 West Chester Pike Upper Darby, PA 19082 "
15066,Aquarius Restaurant,['American (Traditional)'],39.9616,-75.26025,6928 Market St,,,Upper Darby,19082,US,PA,"6928 Market St Upper Darby, PA 19082 "
15067,PA Chew Young Roo,['Korean'],39.9613987,-75.2630139,7050 Terminal Sq,Ste 213,,Upper Darby,19082,US,PA,"7050 Terminal Sq Ste 213 Upper Darby, PA 19082 "
15069,H Mart - Upper Darby,"['Grocery', 'Korean', 'Food Court']",39.9613068,-75.2630991,7050 Terminal Sq.,,,Upper Darby,19082,US,PA,"7050 Terminal Sq. Upper Darby, PA 19082 "
15073,New Punjab,['Pakistani'],39.9614487,-75.2605362,6937 Ludlow St,,,Upper Darby,19082,US,PA,"6937 Ludlow St Upper Darby, PA 19082 "
15074,Chun House,['Restaurants'],39.9614397,-75.2587523,5 S 69th St,,,Upper Darby,19082,US,PA,"5 S 69th St Upper Darby, PA 19082 "
15076,Jian Korean Cuisine,['Korean'],39.9613068,-75.2630991,7050 Terminal Sq,Ste 215,,Upper Darby,19082,US,PA,"7050 Terminal Sq Ste 215 Upper Darby, PA 19082 "
15077,Soop Bin,['Korean'],39.9607832,-75.2621399,56 Garrett Rd,,,Upper Darby,19082,US,PA,"56 Garrett Rd Upper Darby, PA 19082 "
15078,SA CAFE,"['Caribbean', 'African', 'Lounges']",39.9607031,-75.2620479,48 Garrett Rd,,,Upper Darby,19082,US,PA,"48 Garrett Rd Upper Darby, PA 19082 "
15079,Sabor Latino Restaurant - Night Club,"['Latin American', 'Cuban', 'Cocktail Bars']",39.9611,-75.26225,33 Garrett Rd,,,Upper Darby,19082,US,PA,"33 Garrett Rd Upper Darby, PA 19082 "
15080,Five Points Coffee,"['Coffee & Tea', 'Sandwiches', 'Bakeries']",39.96023,-75.26244,47 Long Ln,,,Upper Darby,19082,US,PA,"47 Long Ln Upper Darby, PA 19082 "
15082,El Sazon de Doña Eva,['Latin American'],39.9624752,-75.2540032,6560 Market St,,,Upper Darby,19082,US,PA,"6560 Market St Upper Darby, PA 19082 "
15084,Sunny Chang's Pizza & More,['Pizza'],39.9615677,-75.2587683,1 S 69th St,,,Upper Darby,19082,US,PA,"1 S 69th St Upper Darby, PA 19082 "
15086,Fanta international African restaurant,['African'],39.9609049188889,-75.2623180874067,57 Garrett Rd,,,Upper Darby,19082,US,PA,"57 Garrett Rd Upper Darby, PA 19082 "
15089,Studio Movie Grill,"['American (Traditional)', 'Cinema']",39.9599151611328,-75.2581176757812,53 S 69th St,,,Upper Darby,19082,US,PA,"53 S 69th St Upper Darby, PA 19082 "
15091,Fatafat Grill & Chill,"['Food Delivery Services', 'Cheesesteaks', 'Sandwiches']",39.9615037,-75.2587603,3 S 69th St,,,Upper Darby,19082,US,PA,"3 S 69th St Upper Darby, PA 19082 "
15092,Slices and More,"['Pizza', 'Italian', 'American (Traditional)']",39.9617719,-75.2604101,6932 Market St,,,Upper Darby,19082,US,PA,"6932 Market St Upper Darby, PA 19082 "
15093,Halal New Crown Fried,['Halal'],39.961632,-75.258055,6826 Market St,,,Upper Darby,19082,US,PA,"6826 Market St Upper Darby, PA 19082 "
15094,Philly Pretzel Factory,"['Pretzels', 'Bakeries', 'Hot Dogs']",39.962216,-75.259324,6901 Market St,,,Upper Darby,19082,US,PA,"6901 Market St Upper Darby, PA 19082 "
15096,New Delhi Dhabba,['Indian'],39.9615037,-75.2587603,3 S 69th St,,,Upper Darby,19142,US,PA,"3 S 69th St Upper Darby, PA 19142 "
15097,Sukhothai,['Restaurants'],39.95949,-75.27001,7104 Sellers Ave,,,Upper Darby,19082,US,PA,"7104 Sellers Ave Upper Darby, PA 19082 "
15098,Danny's Express,['Restaurants'],39.9621815190001,-75.2620856073629,7001 W Chester Pike,,,Upper Darby,19082,US,PA,"7001 W Chester Pike Upper Darby, PA 19082 "
15192,Turbo Thai ,['Thai'],39.958432,-75.1638358,1439 Vine St,,,Philadelphia,19102,US,PA,"1439 Vine St Philadelphia, PA 19102 "
15279,Las Maraca Restaurant,['Latin American'],40.0450401,-75.0606766,2100 St Vincent St,,,Philadelphia,19149,US,PA,"2100 St Vincent St Philadelphia, PA 19149 "
15391,Street Food Philly,"['Food Stands', 'Street Vendors']",39.96097,-75.18956,N 33rd St,,,Philadelphia,19104,US,PA,"N 33rd St Philadelphia, PA 19104 "
15398,Tran's Chinese Food Cart,"['Food Stands', 'Chinese']",39.96009,-75.189482,216 N 33rd St,,,Philadelphia,19104,US,PA,"216 N 33rd St Philadelphia, PA 19104 "
15405,Academic Bistro,['American (New)'],39.95793,-75.18861,101 N 33rd St,,Paul Peck Problem Solving & Research Building,Philadelphia,19104,US,PA,"101 N 33rd St Paul Peck Problem Solving & Research Building Philadelphia, PA 19104 "
15411,Brexel Cafe,"['Middle Eastern', 'Falafel', 'Hookah Bars']",39.9606817043736,-75.1894419902549,305 N 33rd St,,,Philadelphia,19104,US,PA,"305 N 33rd St Philadelphia, PA 19104 "
